Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Gujarat,32.15,54,Small,2019-10-17,10,Ghee,Mother Dairy,353.48,60.82,21498.6536,119,Ambient,2019-08-19,2019-12-16,306,57.6,17625.6,Kerala,Wholesale,47,94.12,25.39
Jharkhand,601.02,70,Large,2019-09-04,6,Curd,Amul,78.25,68.42,5353.865,5,Refrigerated,2019-08-23,2019-08-28,26,63.94,1662.44,Uttar Pradesh,Wholesale,52,92.97,60.72
Delhi,512.43,94,Medium,2020-09-12,3,Cheese,Passion Cheese,680.47,55.89,38031.4683,77,Refrigerated,2020-08-24,2020-11-09,49,52.18,2556.82,Delhi,Wholesale,631,16.3,127.77
Haryana,815.61,90,Small,2019-12-02,8,Buttermilk,Mother Dairy,510.38,27.96,14270.2248,8,Refrigerated,2019-10-12,2019-10-20,357,26.4,9424.8,Madhya Pradesh,Retail,153,49.4,198.79
Telangana,411.76,77,Small,2019-02-21,5,Ice Cream,Dodla Dairy,314.31,30.62,9624.1722,29,Frozen,2019-01-13,2019-02-11,143,34.65,4954.95,Tamil Nadu,Wholesale,171,89.1,45.01
Uttar Pradesh,616.68,52,Small,2019-11-14,7,Lassi,Amul,677.17,95.98,64994.7766,12,Refrigerated,2019-11-06,2019-11-18,367,95.84,35173.28,Jharkhand,Retail,310,91.29,97.18
Bihar,228.53,39,Small,2022-10-18,10,Ghee,Raj,475.03,73.55,34938.4565,146,Ambient,2022-10-12,2023-03-07,105,76.21,8002.05,West Bengal,Retail,370,43.44,34.01
Uttar Pradesh,60.31,20,Medium,2020-12-25,5,Ice Cream,Mother Dairy,156.73,36.32,5692.433599999999,27,Frozen,2020-11-02,2020-11-29,148,39.13,5791.24,Rajasthan,Wholesale,8,62.82,113.68
Chandigarh,118.53,40,Large,2021-03-05,10,Ghee,Amul,748.24,84.16,62971.8784,125,Ambient,2021-01-30,2021-06-04,678,79.69,54029.82,Maharashtra,Wholesale,70,99.93,147.63
Gujarat,391.01,55,Medium,2022-09-14,9,Paneer,Raj,702.1,59.11,41501.131,13,Refrigerated,2022-07-23,2022-08-05,592,55.41,32802.72,Karnataka,Online,110,72.02,103.46
Karnataka,996.57,100,Medium,2019-09-28,3,Cheese,Amul,572.78,38.33,21954.6574,74,Refrigerated,2019-08-13,2019-10-26,533,33.96,18100.68,Uttar Pradesh,Wholesale,39,24.66,61.67
Kerala,638.17,54,Small,2019-11-13,8,Buttermilk,Sudha,845.99,23.46,19846.9254,9,Refrigerated,2019-11-09,2019-11-18,495,25.56,12652.2,Karnataka,Online,350,92.29,83.67
Delhi,259.51,85,Small,2020-02-01,5,Ice Cream,Palle2patnam,426.03,56.25,23964.1875,22,Frozen,2020-01-03,2020-01-25,134,59.06,7914.04,Chandigarh,Online,292,43.82,126.07
Maharashtra,640.44,91,Large,2022-10-09,2,Butter,Mother Dairy,603.26,54.19,32690.6594,29,Frozen,2022-09-10,2022-10-09,46,58.88,2708.48,West Bengal,Retail,557,58.45,33.47
Delhi,255.45,25,Small,2022-09-23,5,Ice Cream,Amul,953.01,95.3,90821.853,23,Frozen,2022-09-22,2022-10-15,465,99.64,46332.6,Delhi,Wholesale,488,85.98,109.6
West Bengal,580.82,51,Small,2019-04-20,1,Milk,Sudha,380.68,37.25,14180.33,24,Tetra Pack,2019-04-13,2019-05-07,142,39.56,5617.52,West Bengal,Retail,238,47.13,187.85
Madhya Pradesh,112.97,36,Medium,2019-01-21,4,Yogurt,Mother Dairy,948.26,11.2,10620.512,25,Frozen,2018-12-02,2018-12-27,928,9.71,9010.88,Chandigarh,Wholesale,20,14.23,61.99
Gujarat,743.43,53,Small,2020-02-27,9,Paneer,Raj,936.16,49.46,46302.4736,10,Refrigerated,2020-02-07,2020-02-17,29,52.37,1518.73,Rajasthan,Retail,907,71.33,26.94
Chandigarh,860.79,67,Large,2019-10-15,1,Milk,Sudha,698.27,33.4,23322.218,22,Tetra Pack,2019-09-03,2019-09-25,169,33.18,5607.42,Madhya Pradesh,Wholesale,529,77.14,175.16
Maharashtra,962.51,61,Small,2021-08-16,2,Butter,Warana,944.23,67.03,63291.7369,36,Frozen,2021-07-16,2021-08-21,264,66.07,17442.48,Delhi,Wholesale,680,56.67,106.73
Chandigarh,210.7,53,Large,2020-01-19,2,Butter,Warana,340.64,31.62,10771.0368,36,Refrigerated,2019-12-22,2020-01-27,198,27.89,5522.22,Madhya Pradesh,Retail,142,92.52,152.67
Karnataka,679.72,39,Small,2022-02-13,1,Milk,Raj,796.06,90.59,72115.0754,2,Polythene Packet,2022-01-23,2022-01-25,315,89.85,28302.75,West Bengal,Retail,481,81.68,174.5
West Bengal,760.89,93,Small,2019-06-23,6,Curd,Amul,988.81,55.82,55195.3742,6,Refrigerated,2019-06-09,2019-06-15,190,54.04,10267.6,Uttar Pradesh,Retail,798,17.42,93.99
West Bengal,208.72,55,Large,2021-10-17,5,Ice Cream,Mother Dairy,135.82,49.18,6679.6276,23,Frozen,2021-09-22,2021-10-15,31,48.83,1513.73,Delhi,Retail,104,76.62,167.29
Telangana,258.03,77,Large,2022-01-01,1,Milk,Amul,682.17,60.42,41216.7114,1,Polythene Packet,2021-11-27,2021-11-28,145,57.03,8269.35,Delhi,Wholesale,537,13.29,83.16
Uttar Pradesh,847.87,33,Medium,2022-02-12,6,Curd,Mother Dairy,908.89,70.64,64203.9896,6,Refrigerated,2022-01-16,2022-01-22,324,70.24,22757.76,Madhya Pradesh,Retail,584,98.95,76.9
Tamil Nadu,996.42,10,Large,2020-07-04,1,Milk,Amul,552.91,96.84,53543.8044,2,Polythene Packet,2020-06-11,2020-06-13,371,99.72,36996.12,Bihar,Retail,181,58.23,123.05
Rajasthan,545.89,65,Small,2021-06-27,5,Ice Cream,Amul,894.2,40.32,36054.144,28,Frozen,2021-06-02,2021-06-30,879,41.5,36478.5,Telangana,Wholesale,15,25.01,119.87
Rajasthan,660.43,58,Medium,2022-04-10,3,Cheese,Amul,313.73,27.03,8480.1219,47,Refrigerated,2022-04-02,2022-05-19,251,27.9,7002.9,Maharashtra,Wholesale,62,88.87,125.21
Chandigarh,363.23,29,Medium,2022-01-25,4,Yogurt,Mother Dairy,833.01,72.31,60234.9531,27,Frozen,2022-01-15,2022-02-11,110,72.18,7939.8,Uttar Pradesh,Wholesale,723,93.47,34.14
Maharashtra,17.99,94,Medium,2019-08-15,4,Yogurt,Dodla Dairy,437.19,26.91,11764.7829,28,Frozen,2019-07-25,2019-08-22,265,31.45,8334.25,Gujarat,Retail,172,88.34,25.31
Telangana,397.48,74,Small,2021-02-17,10,Ghee,Mother Dairy,236.82,50.64,11992.5648,117,Ambient,2021-01-21,2021-05-18,45,53.49,2407.05,Rajasthan,Wholesale,191,43.42,155.44
Uttar Pradesh,914.72,48,Medium,2020-04-20,5,Ice Cream,Dodla Dairy,341.06,96.92,33055.5352,30,Frozen,2020-02-28,2020-03-29,26,93.25,2424.5,Haryana,Online,315,72.93,41.06
Madhya Pradesh,387.21,92,Large,2019-01-01,3,Cheese,Passion Cheese,714.67,88.78,63448.4026,49,Frozen,2018-11-20,2019-01-08,304,89.54,27220.16,West Bengal,Wholesale,410,74.72,99.37
Rajasthan,858.76,58,Large,2022-10-13,7,Lassi,Raj,326.85,15.25,4984.462500000001,15,Refrigerated,2022-09-28,2022-10-13,226,19.13,4323.38,Rajasthan,Wholesale,100,82.79,84.37
Madhya Pradesh,313.58,94,Large,2021-10-21,2,Butter,Parag Milk Foods,653.39,13.17,8605.1463,29,Frozen,2021-08-29,2021-09-27,524,15.34,8038.16,Gujarat,Online,129,16.72,111.17
Bihar,287.58,73,Large,2020-11-08,9,Paneer,Amul,234.06,78.48,18369.0288,11,Refrigerated,2020-10-24,2020-11-04,31,79.12,2452.72,Delhi,Online,203,17.99,134.09
West Bengal,215.19,17,Large,2020-09-21,8,Buttermilk,Amul,58.21,62.62,3645.1102,8,Refrigerated,2020-09-12,2020-09-20,12,65.39,784.68,Gujarat,Retail,46,67.36,111.97
Telangana,694.55,96,Medium,2021-11-18,10,Ghee,Amul,779.82,49.57,38655.6774,118,Ambient,2021-09-29,2022-01-25,21,46.27,971.67,Tamil Nadu,Wholesale,758,52.78,184.55
Kerala,609.9,45,Medium,2022-12-14,6,Curd,Raj,487.08,66.92,32595.3936,6,Refrigerated,2022-11-08,2022-11-14,171,62.52,10690.92,Delhi,Wholesale,316,57.0,130.85
Gujarat,485.14,29,Large,2021-07-28,10,Ghee,Mother Dairy,666.95,85.79,57217.64050000001,63,Ambient,2021-07-11,2021-09-12,104,88.57,9211.28,Gujarat,Retail,562,27.2,121.87
Bihar,597.3,32,Medium,2020-06-17,6,Curd,Sudha,379.93,34.68,13175.9724,7,Refrigerated,2020-06-02,2020-06-09,346,38.62,13362.52,Chandigarh,Retail,33,45.63,185.85
Maharashtra,610.59,42,Medium,2022-02-07,3,Cheese,Dynamix Dairies,670.49,63.47,42556.0003,46,Refrigerated,2021-12-17,2022-02-01,222,66.78,14825.16,Jharkhand,Retail,448,77.89,111.21
Chandigarh,264.39,27,Small,2021-01-09,6,Curd,Mother Dairy,673.59,21.21,14286.843900000002,6,Refrigerated,2020-11-23,2020-11-29,485,26.19,12702.15,Gujarat,Online,188,34.08,169.26
West Bengal,243.84,53,Large,2019-07-08,1,Milk,Mother Dairy,857.82,64.72,55518.110400000005,24,Tetra Pack,2019-05-09,2019-06-02,166,65.5,10873.0,Kerala,Wholesale,691,86.95,68.47
West Bengal,449.12,93,Large,2019-12-27,4,Yogurt,Amul,26.88,52.25,1404.48,23,Refrigerated,2019-11-13,2019-12-06,19,50.81,965.39,Bihar,Online,7,20.17,93.91
Delhi,660.05,43,Large,2019-04-09,2,Butter,Mother Dairy,958.71,83.56,80109.8076,39,Refrigerated,2019-03-27,2019-05-05,575,79.14,45505.5,Bihar,Retail,383,29.2,106.53
West Bengal,639.54,52,Medium,2021-09-17,3,Cheese,Britannia Industries,807.69,63.8,51530.622,38,Refrigerated,2021-08-22,2021-09-29,288,61.88,17821.44,Bihar,Retail,519,11.71,28.83
Uttar Pradesh,515.63,11,Medium,2019-01-18,1,Milk,Sudha,761.45,49.28,37524.256,1,Polythene Packet,2019-01-07,2019-01-08,9,47.47,427.23,Gujarat,Online,752,37.43,124.16
Karnataka,365.52,38,Medium,2022-09-25,3,Cheese,Britannia Industries,642.94,36.44,23428.7336,38,Frozen,2022-08-23,2022-09-30,86,40.62,3493.32,Uttar Pradesh,Online,556,86.11,98.23
Kerala,70.17,58,Medium,2022-07-21,8,Buttermilk,Sudha,194.98,75.7,14759.986,9,Refrigerated,2022-06-20,2022-06-29,75,76.38,5728.5,Madhya Pradesh,Retail,119,54.02,94.48
Uttar Pradesh,785.43,29,Medium,2019-11-07,9,Paneer,Raj,110.55,24.91,2753.8005,11,Refrigerated,2019-10-24,2019-11-04,102,20.72,2113.44,Gujarat,Retail,8,32.91,82.96
Tamil Nadu,926.21,90,Large,2021-01-28,5,Ice Cream,Dodla Dairy,351.78,56.95,20033.871,27,Frozen,2020-12-21,2021-01-17,115,56.88,6541.2,Telangana,Retail,236,72.06,178.06
Delhi,205.67,60,Small,2021-02-02,8,Buttermilk,Mother Dairy,259.71,90.46,23493.3666,9,Refrigerated,2020-12-28,2021-01-06,116,95.41,11067.56,Rajasthan,Online,143,14.63,113.55
Delhi,701.4,20,Small,2021-09-18,5,Ice Cream,Mother Dairy,670.12,35.75,23956.79,26,Frozen,2021-08-10,2021-09-05,19,40.42,767.98,Delhi,Wholesale,651,75.52,147.91
Madhya Pradesh,233.14,96,Small,2021-04-10,6,Curd,Mother Dairy,163.34,85.87,14026.0058,6,Refrigerated,2021-02-14,2021-02-20,102,89.82,9161.64,West Bengal,Online,61,13.46,53.32
Karnataka,616.87,51,Small,2020-09-22,3,Cheese,Dynamix Dairies,528.32,46.3,24461.216,73,Frozen,2020-08-03,2020-10-15,453,42.85,19411.05,Maharashtra,Retail,75,62.02,149.49
Delhi,516.33,100,Medium,2019-02-01,9,Paneer,Amul,499.95,19.39,9694.0305,7,Refrigerated,2019-01-11,2019-01-18,248,19.71,4888.08,Tamil Nadu,Retail,251,54.35,150.12
Rajasthan,899.31,63,Large,2020-12-23,4,Yogurt,Amul,398.03,69.4,27623.282,22,Refrigerated,2020-10-25,2020-11-16,219,67.18,14712.42,Chandigarh,Wholesale,179,19.46,178.22
Delhi,951.8,77,Small,2021-04-19,10,Ghee,Amul,1.24,56.94,70.6056,85,Ambient,2021-03-10,2021-06-03,1,54.52,54.52,Bihar,Wholesale,0,88.2,172.34
Haryana,712.7,38,Small,2020-07-03,3,Cheese,Amul,730.61,40.3,29443.583,45,Refrigerated,2020-06-13,2020-07-28,725,38.73,28079.25,Madhya Pradesh,Wholesale,5,27.22,45.22
Jharkhand,347.94,33,Small,2020-06-18,7,Lassi,Amul,732.5,92.06,67433.95,15,Refrigerated,2020-05-24,2020-06-08,153,89.5,13693.5,Karnataka,Online,579,54.51,174.76
Telangana,815.76,43,Large,2022-05-11,6,Curd,Mother Dairy,459.49,94.85,43582.6265,5,Refrigerated,2022-05-06,2022-05-11,172,91.78,15786.16,Telangana,Online,287,23.83,49.24
West Bengal,814.3,22,Small,2022-04-24,3,Cheese,Passion Cheese,510.78,56.28,28746.6984,55,Refrigerated,2022-04-11,2022-06-05,106,55.03,5833.18,Bihar,Wholesale,404,73.72,53.32
Madhya Pradesh,306.61,43,Medium,2021-01-09,2,Butter,Warana,508.79,39.96,20331.2484,35,Frozen,2020-11-18,2020-12-23,115,40.1,4611.5,Telangana,Wholesale,393,85.57,115.92
Gujarat,20.6,15,Large,2021-09-04,6,Curd,Sudha,408.78,53.2,21747.096,5,Refrigerated,2021-07-14,2021-07-19,101,54.66,5520.66,Rajasthan,Online,307,91.62,191.82
Kerala,610.39,17,Medium,2022-06-15,9,Paneer,Raj,117.63,17.87,2102.0481,10,Refrigerated,2022-05-15,2022-05-25,49,19.47,954.03,Bihar,Retail,68,57.48,189.77
Madhya Pradesh,78.55,89,Medium,2019-02-13,2,Butter,Parag Milk Foods,746.15,77.47,57804.2405,25,Refrigerated,2019-01-20,2019-02-14,305,76.1,23210.5,Karnataka,Wholesale,441,34.35,104.43
Gujarat,703.93,27,Large,2019-04-15,4,Yogurt,Palle2patnam,205.61,80.95,16644.129500000003,24,Frozen,2019-04-03,2019-04-27,163,78.26,12756.38,Jharkhand,Retail,42,97.51,189.32
Madhya Pradesh,498.97,93,Small,2020-01-11,4,Yogurt,Mother Dairy,240.05,92.58,22223.829,25,Refrigerated,2020-01-07,2020-02-01,145,92.4,13398.0,Kerala,Wholesale,95,97.87,164.3
Madhya Pradesh,130.27,90,Large,2020-09-04,1,Milk,Raj,816.47,70.89,57879.5583,24,Tetra Pack,2020-07-09,2020-08-02,275,72.05,19813.75,Madhya Pradesh,Retail,541,30.21,57.87
Delhi,319.73,65,Medium,2021-01-10,4,Yogurt,Mother Dairy,821.24,41.42,34015.760800000004,28,Frozen,2020-12-01,2020-12-29,238,39.23,9336.74,Karnataka,Online,583,61.96,114.32
Bihar,451.11,39,Small,2021-01-05,3,Cheese,Passion Cheese,111.45,76.52,8528.154,41,Frozen,2020-12-25,2021-02-04,57,80.95,4614.15,Kerala,Online,54,28.28,134.72
Chandigarh,61.75,11,Medium,2022-02-13,9,Paneer,Raj,586.95,54.49,31982.905500000004,12,Refrigerated,2022-01-10,2022-01-22,442,58.69,25940.98,Chandigarh,Retail,144,79.0,96.23
West Bengal,282.75,92,Medium,2022-05-18,6,Curd,Mother Dairy,113.12,95.61,10815.4032,5,Refrigerated,2022-05-10,2022-05-15,13,95.34,1239.42,Haryana,Retail,100,47.73,59.33
Kerala,840.63,84,Small,2019-06-09,10,Ghee,Sudha,999.82,70.39,70377.3298,67,Ambient,2019-06-02,2019-08-08,328,72.53,23789.84,Chandigarh,Retail,671,63.4,124.95
Haryana,926.8,94,Small,2021-06-09,4,Yogurt,Palle2patnam,563.48,14.29,8052.129199999999,22,Frozen,2021-06-01,2021-06-23,144,9.46,1362.24,Gujarat,Online,419,58.77,186.5
Kerala,529.71,54,Large,2020-10-19,1,Milk,Raj,569.56,34.11,19427.6916,29,Tetra Pack,2020-09-16,2020-10-15,112,31.01,3473.12,Jharkhand,Retail,457,23.87,162.79
Telangana,596.41,64,Large,2021-04-10,7,Lassi,Amul,907.28,27.57,25013.7096,17,Refrigerated,2021-03-09,2021-03-26,8,23.95,191.6,Chandigarh,Retail,899,24.79,153.76
Madhya Pradesh,851.76,17,Medium,2022-10-26,2,Butter,Parag Milk Foods,51.32,53.9,2766.148,31,Frozen,2022-09-10,2022-10-11,4,49.68,198.72,Tamil Nadu,Retail,47,40.81,122.01
Delhi,746.15,51,Medium,2020-07-26,10,Ghee,Raj,161.6,49.35,7974.96,133,Ambient,2020-06-27,2020-11-07,99,46.41,4594.59,Delhi,Wholesale,62,95.35,73.54
Haryana,498.05,15,Medium,2019-05-10,8,Buttermilk,Mother Dairy,78.15,57.07,4460.0205000000005,9,Refrigerated,2019-04-15,2019-04-24,71,53.08,3768.68,Jharkhand,Online,7,81.17,150.64
Uttar Pradesh,405.73,45,Small,2019-01-21,9,Paneer,Amul,422.02,12.17,5135.9834,11,Refrigerated,2018-12-29,2019-01-09,78,9.98,778.44,Delhi,Wholesale,344,56.39,184.51
Tamil Nadu,893.98,82,Small,2021-01-04,3,Cheese,Dynamix Dairies,617.67,82.82,51155.42939999999,29,Refrigerated,2020-11-06,2020-12-05,610,78.69,48000.9,Chandigarh,Retail,7,95.74,85.69
Madhya Pradesh,242.25,49,Small,2021-10-08,5,Ice Cream,Dodla Dairy,72.31,28.28,2044.9268,25,Frozen,2021-08-22,2021-09-16,52,24.72,1285.44,West Bengal,Retail,20,78.27,83.78
Gujarat,421.48,32,Large,2021-05-14,10,Ghee,Mother Dairy,427.33,19.97,8533.7801,112,Ambient,2021-04-02,2021-07-23,82,19.05,1562.1,Uttar Pradesh,Retail,345,26.72,36.61
Madhya Pradesh,587.1,54,Medium,2020-11-15,4,Yogurt,Amul,941.22,77.89,73311.62580000001,23,Refrigerated,2020-11-01,2020-11-24,151,78.99,11927.49,Maharashtra,Retail,790,31.84,122.47
West Bengal,499.69,44,Medium,2020-10-20,2,Butter,Parag Milk Foods,695.82,99.94,69540.25080000001,25,Frozen,2020-09-14,2020-10-09,626,100.41,62856.66,Rajasthan,Retail,69,94.87,110.03
Uttar Pradesh,932.94,42,Large,2022-02-21,8,Buttermilk,Amul,301.76,19.51,5887.337600000001,12,Refrigerated,2022-01-22,2022-02-03,287,23.23,6667.01,Gujarat,Retail,14,65.01,149.35
Telangana,492.02,83,Large,2019-01-06,5,Ice Cream,Dodla Dairy,421.0,73.47,30930.87,30,Frozen,2018-11-07,2018-12-07,404,74.63,30150.52,Jharkhand,Online,17,47.9,102.95
Delhi,734.97,60,Medium,2021-10-06,1,Milk,Mother Dairy,659.84,93.26,61536.6784,2,Polythene Packet,2021-09-21,2021-09-23,477,89.12,42510.24,Jharkhand,Wholesale,182,79.84,104.85
West Bengal,563.15,18,Medium,2021-07-01,5,Ice Cream,Mother Dairy,204.89,52.4,10736.236,24,Frozen,2021-06-09,2021-07-03,115,50.49,5806.35,Madhya Pradesh,Retail,89,90.01,105.13
Delhi,287.83,91,Small,2021-05-27,1,Milk,Mother Dairy,770.09,83.43,64248.6087,2,Polythene Packet,2021-05-05,2021-05-07,294,79.38,23337.72,Gujarat,Wholesale,476,20.99,93.27
Rajasthan,483.29,13,Large,2022-12-24,1,Milk,Raj,446.48,60.27,26909.3496,1,Polythene Packet,2022-12-10,2022-12-11,359,63.49,22792.91,Maharashtra,Wholesale,87,69.66,143.8
Delhi,534.21,75,Small,2022-11-23,1,Milk,Mother Dairy,22.36,99.06,2214.9816,1,Polythene Packet,2022-11-05,2022-11-06,11,101.72,1118.92,Kerala,Online,11,56.08,181.59
Jharkhand,292.92,39,Large,2019-03-08,9,Paneer,Sudha,704.27,30.57,21529.5339,10,Refrigerated,2019-01-20,2019-01-30,214,33.19,7102.66,Delhi,Online,490,37.14,24.18
Kerala,578.91,33,Small,2022-01-25,5,Ice Cream,Dodla Dairy,449.97,97.48,43863.0756,21,Frozen,2022-01-02,2022-01-23,217,99.07,21498.19,Karnataka,Wholesale,232,52.57,187.15
Gujarat,259.55,30,Medium,2020-11-08,7,Lassi,Mother Dairy,627.47,31.21,19583.3387,18,Refrigerated,2020-09-10,2020-09-28,387,28.45,11010.15,Rajasthan,Retail,240,11.22,169.87
Chandigarh,324.37,44,Medium,2019-10-07,8,Buttermilk,Mother Dairy,436.44,63.59,27753.2196,11,Refrigerated,2019-09-10,2019-09-21,136,60.89,8281.04,Delhi,Online,300,21.1,100.88
Rajasthan,39.15,55,Small,2020-07-12,3,Cheese,Amul,571.47,35.8,20458.626,90,Frozen,2020-05-13,2020-08-11,472,32.51,15344.72,Chandigarh,Wholesale,99,74.19,78.03
Rajasthan,248.66,33,Small,2020-10-05,8,Buttermilk,Amul,567.24,66.92,37959.7008,12,Refrigerated,2020-09-29,2020-10-11,419,69.4,29078.6,Uttar Pradesh,Online,148,44.96,110.11
Karnataka,935.57,27,Medium,2021-07-15,10,Ghee,Amul,480.67,12.85,6176.6095000000005,71,Ambient,2021-06-07,2021-08-17,34,9.83,334.22,Telangana,Wholesale,446,33.13,58.58
Gujarat,995.72,71,Large,2022-05-11,8,Buttermilk,Raj,189.91,10.79,2049.1289,10,Refrigerated,2022-03-28,2022-04-07,137,14.72,2016.64,Uttar Pradesh,Wholesale,52,51.49,78.82
Delhi,542.36,50,Medium,2021-11-15,8,Buttermilk,Raj,95.95,64.62,6200.289000000001,11,Refrigerated,2021-10-06,2021-10-17,65,61.84,4019.6,Delhi,Retail,30,18.56,106.25
Delhi,615.7,53,Medium,2020-04-20,6,Curd,Amul,609.16,66.03,40222.8348,6,Refrigerated,2020-02-24,2020-03-01,55,67.54,3714.7,West Bengal,Wholesale,554,56.1,105.87
Jharkhand,673.9,95,Large,2019-06-12,10,Ghee,Sudha,327.49,91.05,29817.9645,71,Ambient,2019-05-16,2019-07-26,226,86.66,19585.16,Delhi,Online,101,96.27,153.59
Rajasthan,508.45,81,Large,2019-05-19,3,Cheese,Britannia Industries,70.39,22.42,1578.1438,78,Refrigerated,2019-04-25,2019-07-12,31,20.03,620.93,Telangana,Wholesale,39,12.16,30.18
Maharashtra,506.63,75,Medium,2022-05-13,6,Curd,Amul,311.13,19.82,6166.5966,5,Refrigerated,2022-03-21,2022-03-26,165,16.4,2706.0,Jharkhand,Online,146,93.09,47.02
Rajasthan,119.29,82,Large,2020-06-03,8,Buttermilk,Raj,302.45,33.11,10014.1195,8,Refrigerated,2020-04-20,2020-04-28,1,34.73,34.73,Maharashtra,Online,301,49.97,87.76
West Bengal,402.57,40,Small,2019-02-25,7,Lassi,Raj,426.62,24.45,10430.859,18,Refrigerated,2019-02-24,2019-03-14,93,21.33,1983.69,Delhi,Retail,333,29.28,169.91
Tamil Nadu,211.81,25,Large,2020-06-25,7,Lassi,Raj,374.91,87.44,32782.1304,12,Refrigerated,2020-06-13,2020-06-25,260,86.55,22503.0,Delhi,Online,114,14.48,50.4
Karnataka,769.55,84,Small,2021-01-03,8,Buttermilk,Mother Dairy,773.21,16.48,12742.500800000002,9,Refrigerated,2020-12-02,2020-12-11,475,14.64,6954.0,Tamil Nadu,Wholesale,298,29.75,144.75
Gujarat,794.16,48,Large,2022-08-08,7,Lassi,Raj,668.2,12.17,8131.994000000001,14,Refrigerated,2022-08-02,2022-08-16,315,13.36,4208.4,Delhi,Wholesale,353,54.0,83.47
Chandigarh,104.92,16,Medium,2022-02-04,4,Yogurt,Amul,648.88,30.66,19894.6608,25,Refrigerated,2022-01-19,2022-02-13,105,29.04,3049.2,Karnataka,Online,543,30.25,38.16
Madhya Pradesh,120.37,41,Small,2020-12-16,3,Cheese,Dynamix Dairies,491.23,93.1,45733.513,56,Frozen,2020-11-15,2021-01-10,448,91.7,41081.6,Jharkhand,Online,43,88.0,174.95
Chandigarh,925.87,72,Medium,2019-10-15,3,Cheese,Britannia Industries,708.68,55.33,39211.26439999999,39,Frozen,2019-09-27,2019-11-05,417,53.27,22213.59,Maharashtra,Retail,291,42.55,21.23
Chandigarh,49.58,86,Medium,2020-03-08,8,Buttermilk,Raj,408.88,81.25,33221.5,10,Refrigerated,2020-03-06,2020-03-16,406,81.29,33003.74,Delhi,Online,2,49.88,80.97
Delhi,870.74,18,Small,2021-04-22,1,Milk,Mother Dairy,896.14,23.83,21355.0162,1,Polythene Packet,2021-03-13,2021-03-14,740,22.92,16960.8,Haryana,Retail,156,14.76,130.28
Chandigarh,900.32,72,Small,2020-09-17,2,Butter,Amul,621.41,13.44,8351.750399999999,27,Refrigerated,2020-09-03,2020-09-30,35,16.69,584.15,Uttar Pradesh,Online,586,18.12,126.43
Madhya Pradesh,117.06,30,Small,2020-02-23,4,Yogurt,Palle2patnam,970.44,23.06,22378.3464,24,Refrigerated,2020-02-06,2020-03-01,920,26.54,24416.8,West Bengal,Retail,50,27.76,151.6
Chandigarh,482.05,25,Small,2019-05-02,6,Curd,Amul,361.34,67.73,24473.5582,6,Refrigerated,2019-04-04,2019-04-10,346,70.03,24230.38,Maharashtra,Online,15,96.91,90.58
Gujarat,656.58,56,Medium,2022-12-22,6,Curd,Raj,497.55,48.35,24056.5425,5,Refrigerated,2022-12-08,2022-12-13,199,51.01,10150.99,West Bengal,Online,298,80.19,51.55
Madhya Pradesh,251.66,50,Small,2019-07-26,3,Cheese,Dynamix Dairies,868.05,88.24,76596.73199999999,87,Refrigerated,2019-07-14,2019-10-09,400,92.51,37004.0,Bihar,Online,468,55.02,29.69
West Bengal,617.52,20,Medium,2022-09-04,6,Curd,Sudha,364.28,17.82,6491.469599999999,5,Refrigerated,2022-08-07,2022-08-12,166,16.41,2724.06,West Bengal,Retail,198,88.73,132.99
Tamil Nadu,184.36,58,Medium,2022-02-01,6,Curd,Raj,751.83,46.34,34839.802200000006,6,Refrigerated,2021-12-05,2021-12-11,235,50.28,11815.8,Chandigarh,Retail,516,77.77,46.26
West Bengal,920.31,18,Large,2021-01-24,3,Cheese,Britannia Industries,46.05,81.56,3755.838,56,Frozen,2021-01-06,2021-03-03,31,83.55,2590.05,Tamil Nadu,Online,15,12.93,194.5
Delhi,889.32,96,Medium,2022-03-11,6,Curd,Raj,837.94,37.18,31154.609200000003,5,Refrigerated,2022-03-01,2022-03-06,74,40.56,3001.44,Tamil Nadu,Retail,763,82.48,141.07
Chandigarh,894.74,69,Medium,2020-03-25,9,Paneer,Sudha,88.05,89.26,7859.343,13,Refrigerated,2020-02-24,2020-03-08,10,85.04,850.4,Madhya Pradesh,Retail,78,90.43,156.64
Delhi,260.14,23,Small,2020-08-22,2,Butter,Mother Dairy,701.2,52.98,37149.576,36,Frozen,2020-07-14,2020-08-19,533,56.56,30146.48,Delhi,Online,168,57.55,56.69
Uttar Pradesh,347.34,46,Medium,2019-03-16,2,Butter,Amul,358.35,94.46,33849.741,36,Frozen,2019-02-23,2019-03-31,248,93.45,23175.6,Jharkhand,Wholesale,110,82.68,104.08
Kerala,845.49,12,Large,2022-05-25,4,Yogurt,Palle2patnam,73.97,66.25,4900.5125,25,Frozen,2022-03-28,2022-04-22,22,70.69,1555.18,Kerala,Wholesale,51,67.09,55.79
